,Zip Code,Date,Hour,Average PM25
2118,60637,7/3/17,18,48.95429777
2121,60637,7/3/17,10,54.92911354
2123,60637,7/3/17,9,55.50543353
2124,60637,7/3/17,18,48.95429777
2141,60608,7/6/17,8,52.2042323
2142,60608,7/6/17,18,47.77327761
2155,60637,7/6/17,17,48.62063941
2170,60608,7/6/17,8,52.2042323
2171,60608,7/6/17,18,47.77327761
2184,60637,7/6/17,17,48.62063941
2197,60608,7/7/17,8,56.4308303
2199,60637,7/7/17,8,50.36950262
2201,60637,7/7/17,9,52.25844907
2215,60608,7/7/17,13,65.40804703
2224,60608,7/7/17,8,56.4308303
2226,60637,7/7/17,8,50.36950262
2228,60637,7/7/17,9,52.25844907
2242,60608,7/7/17,13,65.40804703
2251,60608,7/8/17,8,45.550151899999996
2252,60637,7/8/17,8,45.33354342
2254,60637,7/8/17,9,45.07622036
2267,60608,7/8/17,8,45.550151899999996
2268,60637,7/8/17,8,45.33354342
2270,60637,7/8/17,9,45.07622036
2280,60637,7/10/17,18,57.32739092
2295,60637,7/10/17,19,57.670102500000006
2303,60637,7/10/17,18,57.32739092
2318,60637,7/10/17,19,57.670102500000006
2363,60610,7/13/17,17,50.46288474
2370,60637,7/13/17,8,56.78128175
2375,60610,7/13/17,21,57.565710100000004
2380,60637,7/13/17,9,51.51151316
2391,60617,7/13/17,7,52.49012165
2392,60610,7/13/17,20,47.38688039
2393,60617,7/13/17,8,52.64282304
2410,60610,7/13/17,17,50.46288474
2417,60637,7/13/17,8,56.78128175
2422,60610,7/13/17,21,57.565710100000004
2427,60637,7/13/17,9,51.51151316
2438,60617,7/13/17,7,52.49012165
2439,60610,7/13/17,20,47.38688039
2440,60617,7/13/17,8,52.64282304
2452,60617,7/15/17,8,91.26274967
2454,60637,7/15/17,18,48.36650588
2455,60637,7/15/17,9,47.12495192
2456,60637,7/15/17,10,46.44311715
2457,60617,7/15/17,9,51.8161234
2459,60617,7/15/17,8,91.26274967
2461,60637,7/15/17,18,48.36650588
2462,60637,7/15/17,9,47.12495192
2463,60637,7/15/17,10,46.44311715
2464,60617,7/15/17,9,51.8161234
2466,60617,7/16/17,8,83.14050781
2467,60617,7/16/17,9,87.01832908
2468,60617,7/16/17,8,83.14050781
2469,60617,7/16/17,9,87.01832908
2479,60617,7/17/17,7,81.94083181
2480,60652,7/17/17,19,55.89994839
2482,60617,7/17/17,9,83.00321311
2484,60644,7/17/17,18,58.147634700000005
2485,60617,7/17/17,8,84.20837911
2493,60608,7/17/17,18,78.11277088
2500,60652,7/17/17,18,58.08203761
2515,60617,7/17/17,7,81.94083181
2516,60652,7/17/17,19,55.89994839
2518,60617,7/17/17,9,83.00321311
2520,60644,7/17/17,18,58.147634700000005
2521,60617,7/17/17,8,84.20837911
2529,60608,7/17/17,18,78.11277088
2536,60652,7/17/17,18,58.08203761
2545,60617,7/18/17,8,99.73416397
2553,60637,7/18/17,10,61.19892669
2556,60617,7/18/17,9,93.39959674
2560,60617,7/18/17,10,88.2011191
2561,60637,7/18/17,17,55.13237237
2562,60617,7/18/17,7,99.05772755
2563,60637,7/18/17,18,50.10863707
2567,60617,7/18/17,8,99.73416397
2575,60637,7/18/17,10,61.19892669
2578,60617,7/18/17,9,93.39959674
2582,60617,7/18/17,10,88.2011191
2583,60637,7/18/17,17,55.13237237
2584,60617,7/18/17,7,99.05772755
2585,60637,7/18/17,18,50.10863707
2586,60617,7/19/17,9,77.43688595
2588,60617,7/19/17,10,84.82339079
2590,60637,7/19/17,10,52.76177335
2591,60637,7/19/17,18,55.53645833
2596,60617,7/19/17,8,83.74434690000001
2598,60617,7/19/17,7,82.10489861
2599,60617,7/19/17,9,77.43688595
2601,60617,7/19/17,10,84.82339079
2603,60637,7/19/17,10,52.76177335
2604,60637,7/19/17,18,55.53645833
2609,60617,7/19/17,8,83.74434690000001
2611,60617,7/19/17,7,82.10489861
2613,60608,7/20/17,9,47.72727273
2618,60652,7/20/17,19,59.57415034
2625,60652,7/20/17,20,58.36857028
2628,60608,7/20/17,9,47.72727273
2633,60652,7/20/17,19,59.57415034
2640,60652,7/20/17,20,58.36857028
2642,60617,7/21/17,8,89.26424107
2643,60637,7/21/17,10,45.67408491
2645,60617,7/21/17,7,89.38764056
2646,60637,7/21/17,9,50.26954343
2647,60617,7/21/17,9,91.50594874
2648,60617,7/21/17,10,77.30371462
2649,60617,7/21/17,8,89.26424107
2650,60637,7/21/17,10,45.67408491
2652,60617,7/21/17,7,89.38764056
2653,60637,7/21/17,9,50.26954343
2654,60617,7/21/17,9,91.50594874
2655,60617,7/21/17,10,77.30371462
2656,60617,7/22/17,8,89.33234174
2658,60637,7/22/17,9,52.30472946
2660,60637,7/22/17,18,53.17380653
2661,60617,7/22/17,9,90.28457746
2662,60617,7/22/17,8,89.33234174
2664,60637,7/22/17,9,52.30472946
2666,60637,7/22/17,18,53.17380653
2667,60617,7/22/17,9,90.28457746
2669,60617,7/24/17,7,82.51332754
2671,60617,7/24/17,9,76.24415952
2672,60617,7/24/17,8,78.36957727
2673,60617,7/24/17,10,45.24766667
2677,60637,7/24/17,18,46.74046529
2680,60617,7/24/17,7,82.51332754
2682,60617,7/24/17,9,76.24415952
2683,60617,7/24/17,8,78.36957727
2684,60617,7/24/17,10,45.24766667
2688,60637,7/24/17,18,46.74046529
2690,60617,7/25/17,7,57.78482402
2691,60608,7/25/17,17,51.78357561
2697,60617,7/25/17,9,95.98865526
2706,60617,7/25/17,8,92.98729741
2725,60617,7/25/17,7,57.78482402
2726,60608,7/25/17,17,51.78357561
2732,60617,7/25/17,9,95.98865526
2741,60617,7/25/17,8,92.98729741
2781,60608,7/26/17,17,69.80735507
2787,60617,7/26/17,9,79.44609815
2788,60608,7/26/17,16,56.79229304
2795,60617,7/26/17,8,83.01134255
2820,60608,7/26/17,17,69.80735507
2826,60617,7/26/17,9,79.44609815
2827,60608,7/26/17,16,56.79229304
2834,60617,7/26/17,8,83.01134255
2837,60610,7/27/17,21,50.238553
2839,60608,7/27/17,8,56.86299319
2843,60610,7/27/17,19,51.28809206
2844,60608,7/27/17,16,86.63044668
2847,60610,7/27/17,22,53.22348099
2856,60610,7/27/17,18,47.93919617
2867,60617,7/27/17,8,173.8371545
2881,60610,7/27/17,20,49.11596899
2887,60617,7/27/17,7,486.86
2889,60610,7/27/17,21,50.238553
2891,60608,7/27/17,8,56.86299319
2895,60610,7/27/17,19,51.28809206
2896,60608,7/27/17,16,86.63044668
2899,60610,7/27/17,22,53.22348099
2908,60610,7/27/17,18,47.93919617
2919,60617,7/27/17,8,173.8371545
2933,60610,7/27/17,20,49.11596899
2939,60617,7/27/17,7,486.86
2944,60610,7/28/17,19,49.41354167
2960,60608,7/28/17,7,57.59544416
2964,60617,7/28/17,7,78.05607501
2965,60617,7/28/17,8,80.33576739
2972,60617,7/28/17,9,84.24999588
3000,60610,7/28/17,19,49.41354167
3016,60608,7/28/17,7,57.59544416
3020,60617,7/28/17,7,78.05607501
3021,60617,7/28/17,8,80.33576739
3028,60617,7/28/17,9,84.24999588
3052,60610,7/29/17,10,44.24938272
3054,60608,7/29/17,11,44.5703
3061,60610,7/29/17,14,46.08319933
3085,60610,7/29/17,10,44.24938272
3087,60608,7/29/17,11,44.5703
3094,60610,7/29/17,14,46.08319933
3117,60637,7/31/17,18,50.22006853
3120,60637,7/31/17,18,50.22006853
3125,60608,8/1/17,10,54.48398982
3126,60637,8/1/17,10,50.23580474
3133,60608,8/1/17,11,56.37448358
3135,60608,8/1/17,16,56.84049413
3166,60608,8/1/17,10,54.48398982
3167,60637,8/1/17,10,50.23580474
3174,60608,8/1/17,11,56.37448358
3176,60608,8/1/17,16,56.84049413
3309,60610,8/7/17,17,59.19506583
3319,60608,8/8/17,17,51.86594455
3323,60608,8/8/17,17,51.86594455
3327,60610,8/9/17,19,46.21191149
3328,60608,8/9/17,11,53.02275049
3331,60637,8/9/17,18,51.00142584
