Zip Code,Date,Hour,Average PM25
60623,7/3/18,12,56.82424504
60602,7/3/18,12,54.41548697
60601,7/3/18,11,37.90458911
60654,7/3/18,11,41.99973589
60605,7/3/18,9,42.42355755
60611,7/3/18,12,40.812024
60601,7/3/18,12,49.92175395
60611,7/3/18,9,52.64472222
60610,7/3/18,11,52.41507937
60601,7/3/18,10,39.17632746
60601,7/3/18,13,39.97330127
0,7/3/18,13,40.53942593
60602,7/3/18,10,40.38460695
60605,7/3/18,10,40.49160537
60654,7/3/18,13,38.05263158
60601,7/3/18,9,40.70833917
60603,7/3/18,10,40.47330243
60623,7/3/18,11,60.44506696
60611,7/3/18,10,39.17974972
60602,7/3/18,13,38.45
60620,7/5/18,10,57.72050746
60615,7/5/18,13,55.54711497
60637,7/5/18,13,55.73842105
60615,7/5/18,11,55.35781457
60637,7/5/18,11,55.40991958
60637,7/5/18,10,55.39480123
60620,7/5/18,10,57.72050746
60615,7/5/18,13,55.54711497
60637,7/5/18,13,55.73842105
60615,7/5/18,11,55.35781457
60637,7/5/18,11,55.40991958
60637,7/5/18,10,55.39480123
0,7/6/18,14,41.92057627
60601,7/6/18,16,57.86083333
0,7/6/18,13,42.79588678
0,7/6/18,14,41.92057627
60601,7/6/18,16,57.86083333
0,7/6/18,13,42.79588678
60620,7/9/18,10,46.57892096
60620,7/9/18,11,46.65964232
60637,7/9/18,9,46.22600884
60644,7/9/18,9,46.49482635
60637,7/9/18,11,45.49255211
60624,7/9/18,11,44.42506853
60644,7/9/18,10,45.89481328
60637,7/9/18,10,45.89289351
60615,7/9/18,9,46.78796053
60624,7/9/18,10,46.51461249
60615,7/9/18,11,45.13278986
60620,7/9/18,9,46.87167237
60620,7/9/18,10,46.57892096
60620,7/9/18,11,46.65964232
60637,7/9/18,9,46.22600884
60644,7/9/18,9,46.49482635
60637,7/9/18,11,45.49255211
60624,7/9/18,11,44.42506853
60644,7/9/18,10,45.89481328
60637,7/9/18,10,45.89289351
60615,7/9/18,9,46.78796053
60624,7/9/18,10,46.51461249
60615,7/9/18,11,45.13278986
60620,7/9/18,9,46.87167237
60629,7/10/18,12,39.50853526
60632,7/10/18,15,28.84867503
60619,7/10/18,9,48.24860344
60620,7/10/18,9,51.44069932
60638,7/10/18,10,39.65974067
60632,7/10/18,14,28.88611651
60629,7/10/18,10,39.63694572
60644,7/10/18,11,49.00375451
60620,7/10/18,11,48.80447143
0,7/10/18,13,52.0162069
60629,7/10/18,13,37.67075587
60638,7/10/18,11,40.51299577
60624,7/10/18,11,49.86885131
60637,7/10/18,9,50.49323529
60638,7/10/18,13,36.38593577
60637,7/10/18,10,49.02189498
60620,7/10/18,10,54.52383189
60619,7/10/18,10,50.24494721
60624,7/10/18,10,51.29560175
0,7/10/18,14,50.87653324
0,7/10/18,16,44.27170418
60624,7/10/18,9,52.00791317
0,7/10/18,15,44.70479198
60615,7/10/18,9,51.04833333
60629,7/10/18,11,40.26676726
60638,7/10/18,14,30.14364331
60632,7/10/18,9,35.76666667
60629,7/10/18,14,33.28829067
0,7/10/18,17,44.40125135
60632,7/10/18,10,42.25369765
60629,7/10/18,12,39.50853526
60632,7/10/18,15,28.84867503
60619,7/10/18,9,48.24860344
60620,7/10/18,9,51.44069932
60638,7/10/18,10,39.65974067
60632,7/10/18,14,28.88611651
60629,7/10/18,10,39.63694572
60644,7/10/18,11,49.00375451
60620,7/10/18,11,48.80447143
0,7/10/18,13,52.0162069
60629,7/10/18,13,37.67075587
60638,7/10/18,11,40.51299577
60624,7/10/18,11,49.86885131
60637,7/10/18,9,50.49323529
60638,7/10/18,13,36.38593577
60637,7/10/18,10,49.02189498
60620,7/10/18,10,54.52383189
60619,7/10/18,10,50.24494721
60624,7/10/18,10,51.29560175
0,7/10/18,14,50.87653324
0,7/10/18,16,44.27170418
60624,7/10/18,9,52.00791317
0,7/10/18,15,44.70479198
60615,7/10/18,9,51.04833333
60629,7/10/18,11,40.26676726
60638,7/10/18,14,30.14364331
60632,7/10/18,9,35.76666667
60629,7/10/18,14,33.28829067
0,7/10/18,17,44.40125135
60624,7/11/18,9,48.48399533
60620,7/11/18,11,47.59825726
60624,7/11/18,11,49.27794147
60644,7/11/18,9,48.24837746
60620,7/11/18,9,48.43464161
60624,7/11/18,10,47.41610935
60644,7/11/18,11,48.00181897
60644,7/11/18,10,46.58588589
60637,7/11/18,11,50.73488631
60615,7/11/18,9,51.4359375
60620,7/11/18,10,47.64272202
60637,7/11/18,10,50.76990765
60615,7/11/18,10,51.07014056
60624,7/11/18,9,48.48399533
60620,7/11/18,11,47.59825726
60624,7/11/18,11,49.27794147
60644,7/11/18,9,48.24837746
60620,7/11/18,9,48.43464161
60624,7/11/18,10,47.41610935
60644,7/11/18,11,48.00181897
60644,7/11/18,10,46.58588589
60637,7/11/18,11,50.73488631
60615,7/11/18,9,51.4359375
60620,7/11/18,10,47.64272202
